compound,salinity,group,headspace_mL,date,day,umoles.mean,umoles.sd
PHEN,fresh,treatment,77,2015-04-23,247,37.1333333333333,45.4814614247754
26-diMN,saline,treatment,77,2015-04-23,247,34.2666666666667,2.18250620464945
DBT,saline,treatment,77,2015-04-23,247,-0.3,1.57162336455017
PHEN,saline,treatment,77,2015-04-23,247,13.9666666666667,15.2004385901636
none,brackish,unamended_control,77,2015-04-23,247,NA,NA
none,fresh,unamended_control,77,2015-04-23,247,NA,NA
none,saline,unamended_control,77,2015-04-23,247,7.23333333333333,9.98515564892873
26-diMN,brackish,sterile_control,97,2015-04-23,247,NA,NA
DBT,brackish,sterile_control,97,2015-04-23,247,NA,NA
PHEN,brackish,sterile_control,97,2015-04-23,247,NA,NA
26-diMN,fresh,sterile_control,97,2015-04-23,247,NA,NA
DBT,fresh,sterile_control,97,2015-04-23,247,NA,NA
PHEN,fresh,sterile_control,97,2015-04-23,247,NA,NA
26-diMN,saline,sterile_control,97,2015-04-23,247,NA,NA
DBT,saline,sterile_control,97,2015-04-23,247,NA,NA
PHEN,saline,sterile_control,97,2015-04-23,247,NA,NA
medium_only,brackish,medium_only_control,100,2015-04-23,247,NA,NA
medium_only,fresh,medium_only_control,100,2015-04-23,247,NA,NA
medium_only,saline,medium_only_control,100,2015-04-23,247,NA,NA
26-diMN,brackish,treatment,77,2015-05-22,276,77.4333333333333,50.1270718607554
DBT,brackish,treatment,77,2015-05-22,276,92.8333333333333,4.05257120027932
PHEN,brackish,treatment,77,2015-05-22,276,106.266666666667,12.8539228772128
26-diMN,fresh,treatment,77,2015-05-22,276,32.3666666666667,17.3234907952564
DBT,fresh,treatment,77,2015-05-22,276,NA,NA
PHEN,fresh,treatment,77,2015-05-22,276,43.8,45.7300776294989
26-diMN,saline,treatment,77,2015-05-22,276,40.1333333333333,3.05341339050796
DBT,saline,treatment,77,2015-05-22,276,5.8,0.793725393319377
PHEN,saline,treatment,77,2015-05-22,276,22.9,13.5746086499759
none,brackish,unamended_control,77,2015-05-22,276,25.3,13.6429468957407
none,fresh,unamended_control,77,2015-05-22,276,NA,NA
none,saline,unamended_control,77,2015-05-22,276,14.6333333333333,10.4882473909292
26-diMN,brackish,sterile_control,97,2015-05-22,276,NA,NA
DBT,brackish,sterile_control,97,2015-05-22,276,NA,NA
PHEN,brackish,sterile_control,97,2015-05-22,276,NA,NA
26-diMN,fresh,sterile_control,97,2015-05-22,276,NA,NA
DBT,fresh,sterile_control,97,2015-05-22,276,NA,NA
